#,name,socket,price,producer,base_clock,turbo_clock,cores,threads,tdp,integrated graphics,image_url,gaming,graphic design,programming,office
1,AMD A10-9700,AM4,68.94,AMD,3.5,3.8,4,4,65,Radeon R7,https://cdna.pcpartpicker.com/static/forever/images/product/f1f3a3a9dcb445a935834152bbc64f05.256p.jpg,FALSE,FALSE,TRUE,TRUE
2,AMD A10-9700E,AM4,130.00,AMD,3.0,3.5,4,4,35,Radeon R7,https://images-eu.ssl-images-amazon.com/images/I/41Pol4UvrBL.jpg,FALSE,FALSE,TRUE,TRUE
3,AMD A6-7400K,FM2+,51.90,AMD,3.5,3.9,1,1,65,,https://images-fe.ssl-images-amazon.com/images/I/51hbGURlbWL.jpg,FALSE,FALSE,FALSE,TRUE
4,AMD A6-7470K,FM2+,5.60,AMD,3.7,4.0,1,1,65,,https://images-fe.ssl-images-amazon.com/images/I/51G2d%2B%2B%2BZlL.jpg,FALSE,FALSE,FALSE,TRUE
5,AMD A6-9500,AM4,60.81,AMD,3.5,0.0,2,2,65,Radeon R5,https://cdna.pcpartpicker.com/static/forever/images/product/dff68b0a86d4d27b43b39812d448529c.256p.jpg,FALSE,FALSE,FALSE,TRUE
6,AMD A8-7600,FM2+,73.32,AMD,3.1,3.8,2,2,65,,https://m.media-amazon.com/images/I/51uLJsUoAgL.jpg,FALSE,FALSE,FALSE,TRUE
7,AMD A8-7650K,FM2+,76.00,AMD,3.3,3.8,2,2,95,Radeon R7,https://cdna.pcpartpicker.com/static/forever/images/product/8b2d16abe67a58f7d015fc08189b9f11.256p.jpg,FALSE,FALSE,FALSE,TRUE
8,AMD A8-9600,AM4,72.65,AMD,3.1,3.4,4,4,65,Radeon R7,https://cdna.pcpartpicker.com/static/forever/images/product/a7ec5caa9d29563e0a61282a46758a91.256p.jpg,FALSE,FALSE,FALSE,TRUE
9,AMD Athlon 200GE,AM4,55.00,AMD,3.2,0.0,2,4,35,Radeon RX Vega 3,https://cdna.pcpartpicker.com/static/forever/images/product/f55fe8a2443698085e9d8d2997cc3173.256p.jpg,FALSE,FALSE,FALSE,TRUE
10,AMD Athlon 220GE,AM4,63.00,AMD,3.4,0.0,2,4,35,Radeon RX Vega 3,https://cdna.pcpartpicker.com/static/forever/images/product/900cddd78a7e0b4ab21a6e80f65fd9d0.256p.jpg,FALSE,FALSE,FALSE,TRUE
11,AMD Athlon 240GE,AM4,63.00,AMD,3.5,0.0,2,4,35,Radeon RX Vega 3,https://cdna.pcpartpicker.com/static/forever/images/product/900cddd78a7e0b4ab21a6e80f65fd9d0.256p.jpg,FALSE,FALSE,FALSE,TRUE
12,AMD Athlon 3000G,AM4,49.00,AMD,3.5,0.0,2,4,35,Radeon RX Vega 3,https://cdna.pcpartpicker.com/static/forever/images/product/4cca7584d65df7a4e4b5298805e9552f.256p.jpg,FALSE,FALSE,TRUE,TRUE
13,AMD FX-4300,AM3+,90.05,AMD,3.8,4.0,4,4,95,,https://images-na.ssl-images-amazon.com/images/I/51cX5o1WMGL.jpg,FALSE,FALSE,FALSE,TRUE
14,AMD FX-6300,AM3+,88.71,AMD,3.5,3.8,6,6,95,,https://static/forever/img/no-image.png,FALSE,FALSE,FALSE,TRUE
15,AMD FX-8300,AM3+,143.61,AMD,3.3,4.2,8,8,95,,https://images-fe.ssl-images-amazon.com/images/I/51OQzB3bsDL.jpg,FALSE,FALSE,FALSE,TRUE
16,AMD FX-8320E,AM3+,132.61,AMD,3.2,4.0,8,8,95,,https://m.media-amazon.com/images/I/41lJqX+INGL.jpg,FALSE,FALSE,FALSE,TRUE
17,AMD FX-8350,AM3+,84.95,AMD,4.0,4.2,8,8,125,,https://m.media-amazon.com/images/I/511KbpvD7fL.jpg,FALSE,FALSE,FALSE,TRUE
18,AMD FX-8370,AM3+,140.86,AMD,4.0,4.3,8,8,125,,https://images-na.ssl-images-amazon.com/images/I/51fI4VaLoDL.jpg,FALSE,FALSE,FALSE,TRUE
19,AMD FX-9370,AM3+,209.95,AMD,4.4,4.7,4,4,220,,https://cdna.pcpartpicker.com/static/forever/images/product/eb5b7bb7afe60da16bd99b1aeabfab09.256p.jpg,FALSE,FALSE,FALSE,TRUE
20,AMD FX-9590,AM3+,231.22,AMD,4.7,5.0,8,8,220,,https://cdna.pcpartpicker.com/static/forever/images/product/af8e6181a8d4489c8613fc076130dc06.256p.jpg,FALSE,FALSE,FALSE,TRUE
