#,name,pci-e,series,vram,cores,memory_clock,boost_clock,price,producer,length,slots,8-pin connectors,6-pin connectors,hdmi,display port,dvi,vga,sync,tdp,image_url,gaming,graphic design,programming,office
1,ASRock Radeon RX 7600 Phantom Gaming 8GO,4.0,Radeon RX 7600,8,2048,18000,2755,259.99,ASRock,305.0,2.5,1.0,0.0,1.0,3.0,0.0,0.0,FreeSync,165,https://cdna.pcpartpicker.com/static/forever/images/product/812b86b62d7ff81cd1332110ce96ac91.256p.jpg,TRUE,TRUE,FALSE,FALSE
2,ASRock Radeon RX 7700 XT Challenger 12GO,4.0,Radeon RX 7700 XT,12,3456,18000,2854,449.99,ASRock,266.0,2.5,2.0,0.0,1.0,3.0,0.0,0.0,FreeSync,245,https://cdna.pcpartpicker.com/static/forever/images/product/c5489241c902a9ae06a42212e978f989.256p.jpg,TRUE,TRUE,FALSE,FALSE
3,ASRock Radeon RX 7800 XT Challenger 16GO,4.0,Radeon RX 7800 XT,16,3840,19500,2475,499.99,ASRock,267.0,2.5,2.0,0.0,1.0,3.0,0.0,0.0,FreeSync,263,https://cdna.pcpartpicker.com/static/forever/images/product/c5489241c902a9ae06a42212e978f989.256p.jpg,TRUE,TRUE,FALSE,FALSE
4,ASRock Radeon RX 7800 XT Phantom Gaming 16GO,4.0,Radeon RX 7800 XT,16,3840,19500,2565,529.99,ASRock,328.0,2.5,2.0,0.0,1.0,3.0,0.0,0.0,FreeSync,263,https://cdna.pcpartpicker.com/static/forever/images/product/812b86b62d7ff81cd1332110ce96ac91.256p.jpg,TRUE,TRUE,FALSE,FALSE
5,ASRock Radeon RX 7800 XT Steel Legend 16GO,4.0,Radeon RX 7800 XT,16,3840,19500,2520,559.89,ASRock,304.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,FreeSync,263,https://cdna.pcpartpicker.com/static/forever/images/product/c5489241c902a9ae06a42212e978f989.256p.jpg,TRUE,TRUE,FALSE,FALSE
6,ASRock Radeon VII,3.0,Radeon VII,16,3840,2000,1750,617.99,ASRock,280.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,FreeSync,300,https://cdna.pcpartpicker.com/static/forever/images/product/2270978db545fc416882d48b1c08a55a.256p.jpg,TRUE,TRUE,FALSE,FALSE
7,Asus AREZ PH RX 550 2G,3.0,Radeon RX 550,2,512,6000,1071,119.99,ASUS,192.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,FreeSync,50,https://cdna.pcpartpicker.com/static/forever/images/product/5e4c21ff8dfd76c3f22848044f401210.256p.jpg,FALSE,FALSE,TRUE,TRUE
8,ASUS GeForce GTX 1050 Ti STRIX O4G Gaming,3.0,GeForce GTX 1050 Ti,4,768,7008,1493,279.72,ASUS,241.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,G-Sync,75,https://cdna.pcpartpicker.com/static/forever/images/product/7760e2607e7488a74486e8de8d3162b5.256p.jpg,FALSE,FALSE,TRUE,FALSE
9,ASUS GeForce GTX 1080 STRIX 8G Gaming,3.0,GeForce GTX 1080,8,2560,10010,1733,599.89,ASUS,298.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,G-Sync,180,https://m.media-amazon.com/images/I/41wesX8-BrL.jpg,TRUE,FALSE,TRUE,FALSE
10,ASUS GeForce GTX 1080 Ti STRIX O11G Gaming,3.0,GeForce GTX 1080 Ti,11,3584,11010,1683,829.99,ASUS,298.0,2.5,2.0,0.0,0.0,0.0,0.0,0.0,G-Sync,250,https://cdna.pcpartpicker.com/static/forever/images/product/7760e2607e7488a74486e8de8d3162b5.256p.jpg,TRUE,FALSE,FALSE,FALSE
11,ASUS GeForce GTX 1080 Turbo 8G,3.0,GeForce GTX 1080,8,2560,10010,1733,449.99,ASUS,266.7,2.0,1.0,0.0,0.0,0.0,0.0,0.0,G-Sync,180,https://cdna.pcpartpicker.com/static/forever/images/product/715f2901c5912c64e515a0a82226d20e.256p.jpg,TRUE,FALSE,TRUE,FALSE
12,ASUS GeForce GTX 1650 Super,3.0,GeForce GTX 1650 Super,4,1280,12000,1770,164.99,ASUS,174.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,G-Sync,100,https://cdna.pcpartpicker.com/static/forever/images/product/f2edab5ee54327da5750e8ecc9f4931a.256p.jpg,FALSE,FALSE,TRUE,FALSE
13,ASUS GeForce GTX 1660 Super TUF,3.0,GeForce GTX 1660 Super,6,1408,14000,1785,232.99,ASUS,264.0,2.75,1.0,0.0,1.0,1.0,1.0,0.0,,125,https://cdna.pcpartpicker.com/static/forever/images/product/715f2901c5912c64e515a0a82226d20e.256p.jpg,TRUE,FALSE,FALSE,FALSE
14,ASUS GeForce GTX 1660 Super TUF O6G Gaming,3.0,GeForce GTX 1660 Super,6,1408,14000,1815,197.99,ASUS,206.0,2.5,1.0,0.0,1.0,1.0,1.0,0.0,,125,https://cdna.pcpartpicker.com/static/forever/images/product/7760e2607e7488a74486e8de8d3162b5.256p.jpg,TRUE,FALSE,FALSE,FALSE
15,ASUS GeForce GTX 1660 Ti Dual O6G,3.0,GeForce GTX 1660 Ti (6GB),6,1890,12000,1800,294.99,ASUS,215.0,2.5,1.0,0.0,1.0,1.0,1.0,0.0,G-Sync,120,https://cdna.pcpartpicker.com/static/forever/images/product/715f2901c5912c64e515a0a82226d20e.256p.jpg,TRUE,FALSE,FALSE,FALSE
16,ASUS GeForce RTX 3060 Phoenix V2 12G LHR,4.0,GeForce RTX 3060,12,3584,15000,1807,318.14,ASUS,177.0,2.5,1.0,0.0,1.0,3.0,0.0,0.0,,170,https://cdna.pcpartpicker.com/static/forever/images/product/b479b4e0786fdadf541cfad257726361.256p.jpg,TRUE,TRUE,FALSE,FALSE
17,ASUS GeForce RTX 3060 TUF LHR,4.0,GeForce RTX 3060,12,3584,15000,1882,462.59,ASUS,301.0,2.7,1.0,0.0,2.0,3.0,0.0,0.0,,170,https://cdna.pcpartpicker.com/static/forever/images/product/715f2901c5912c64e515a0a82226d20e.256p.jpg,TRUE,TRUE,FALSE,FALSE
18,Asus PH GTX 1050 2G,3.0,GeForce GTX 1050,2,640,7008,1455,149.0,ASUS,192.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,G-Sync,75,https://cdna.pcpartpicker.com/static/forever/images/product/b836633d335617f71eb7b4e5f0ba43b7.256p.jpg,FALSE,FALSE,TRUE,TRUE
