name,price,capacity,price_per_gb,type,cache,form_factor,interface,image_url
Acer Predator GM7000,110.0,2000.0,0.055,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,https://m.media-amazon.com/images/I/31s5ADmcRXL.jpg
Acer Predator GM7000,250.0,4000.0,0.062,SSD,4096.0,M.2-2280,M.2 PCIe 4.0 X4,https://m.media-amazon.com/images/I/31s5ADmcRXL.jpg
Crucial MX500,29.99,250.0,0.12,SSD,256.0,2.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/2983fbcd487b315b31855399829b532c.256p.jpg
Hitachi 0F23663,878.0,6000.0,0.146,7200,128.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/0c1287b442e124091710bd6a7ed65d22.256p.jpg
Hitachi Deskstar 7K1000.D,498.0,500.0,0.996,7200,32.0,3.5,SATA 6.0 Gb/s,https://m.media-amazon.com/images/I/517ym7R2xnL.jpg
Hitachi Travelstar 5K500.B,69.0,250.0,0.276,5400,8.0,2.5,SATA 3.0 Gb/s,https://m.media-amazon.com/images/I/51hskJX5guL.jpg
Hitachi Travelstar Z5K500,150.0,500.0,0.3,5400,8.0,2.5,SATA 3.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/32c94edfbb25368f21eb4999cd3e4b4c.1600.jpg
Hitachi Ultrastar,197.73,1800.0,0.11,10500,128.0,2.5,SAS 12.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/2318353e16c5474df12f42af86d4ea93.1600.jpg
Hitachi Ultrastar 7K3000,79.28,2000.0,0.04,7200,64.0,3.5,SATA 6.0 Gb/s,https://m.media-amazon.com/images/I/41Dr07Ew7OL.jpg
Hitachi Ultrastar 7K6000,88.99,4000.0,0.022,7200,128.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/3d20e7ae2466d9c773fef2b64c00e814.1600.jpg
Hitachi Ultrastar He8,249.0,8000.0,0.031,7200,128.0,3.5,SATA 6.0 Gb/s,https://m.media-amazon.com/images/I/41dRGDRQhRL.jpg
Hitachi Ultrastar He8,1087.0,8000.0,0.136,7200,128.0,3.5,SATA 6.0 Gb/s,https://m.media-amazon.com/images/I/41dRGDRQhRL.jpg
HP EX920,118.99,1000.0,0.119,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/23efbb1120944857bf3d1248a5c53ee7.256p.jpg
MSI SPATIUM M480 PLAY,209.14,2000.0,0.105,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/c7f21f044181403141e29d15cbfa99f4.256p.jpg
Mushkin Source,289.26,2000.0,0.145,SSD,2048.0,2.5,SATA 6.0 Gb/s,https://m.media-amazon.com/images/I/31KeULdwSLL.jpg
Mushkin Vortex Redline,97.99,2000.0,0.049,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/f8e9f0d8957ae41fc34ae62ae2ece25c.256p.jpg
Samsung 860 Evo,67.0,500.0,0.134,SSD,512.0,2.5,SATA 6.0 Gb/s,https://m.media-amazon.com/images/I/41qR7C253KL.jpg
Samsung 860 Evo,225.0,2000.0,0.113,SSD,2048.0,2.5,SATA 6.0 Gb/s,https://m.media-amazon.com/images/I/41qR7C253KL.jpg
Samsung 960 Evo,149.99,1000.0,0.15,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/05c84a7f2b020b4efe1b7b736b9eefd0.256p.jpg
Samsung 970 Evo,44.99,250.0,0.18,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/326881d073c1b667bd348893696c690e.256p.jpg
Samsung 980 Pro w/Heatsink,79.98,1000.0,0.08,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/b2412d4f6cdb883eafbc4a27afa07878.256p.jpg
Samsung 990 Pro w/Heatsink,144.99,2000.0,0.072,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/ee5dce8b58c4c1e8661c97a35289d2fb.256p.jpg
Seagate BarraCuda,34.99,320.0,0.109,7200,16.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/c7b5b7dacbecdcdd0e073b761193eef6.256p.jpg
Seagate BarraCuda,149.0,500.0,0.298,7200,16.0,3.5,PATA 100,https://cdna.pcpartpicker.com/static/forever/images/product/c7b5b7dacbecdcdd0e073b761193eef6.256p.jpg
Seagate BarraCuda,42.0,500.0,0.084,5400,32.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/c7b5b7dacbecdcdd0e073b761193eef6.256p.jpg
Seagate BarraCuda,25.09,1000.0,0.025,7200,64.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/c7b5b7dacbecdcdd0e073b761193eef6.256p.jpg
Seagate BarraCuda,90.2,4000.0,0.023,5900,64.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/c7b5b7dacbecdcdd0e073b761193eef6.256p.jpg
Seagate Barracuda Compute,39.99,1000.0,0.04,5400,64.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/c7b5b7dacbecdcdd0e073b761193eef6.256p.jpg
Seagate Barracuda Compute,84.49,3000.0,0.028,5400,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/c7b5b7dacbecdcdd0e073b761193eef6.256p.jpg
Seagate BarraCuda Pro,209.99,10000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/340060a87cb466dba877bfa1ff5c0444.256p.jpg
Seagate Constellation ES,99.0,500.0,0.198,7200,16.0,3.5,SAS 6.0 Gb/s,https://images-na.ssl-images-amazon.com/images/I/41DOvqfhWkL.jpg
Seagate Constellation.2,205.0,500.0,0.41,7200,64.0,2.5,SAS 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/a4e10b58aca8859cb1db9a1ea6a576f9.256p.jpg
Seagate Enterprise Capacity,240.44,6000.0,0.04,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/329754e4f794528a9871cec5d543d23f.256p.jpg
Seagate Enterprise Capacity,147.0,8000.0,0.018,7200,256.0,3.5,SAS 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/329754e4f794528a9871cec5d543d23f.256p.jpg
Seagate Enterprise Capacity,169.0,8000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/329754e4f794528a9871cec5d543d23f.256p.jpg
Seagate Enterprise Capacity,199.96,10000.0,0.02,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/329754e4f794528a9871cec5d543d23f.256p.jpg
Seagate Enterprise NAS,239.0,5000.0,0.048,7200,128.0,3.5,SATA 6.0 Gb/s,https://images-na.ssl-images-amazon.com/images/I/41m4iLw2UTL.jpg
Seagate Exos 7E10 512e/4Kn,244.94,10000.0,0.024,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/6c66f5ecd95539fcc2659ac929c9469c.256p.jpg
Seagate Exos 7E8,129.99,4000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/ae54441dec9c942100012625e32e15d7.256p.jpg
Seagate Exos 7E8 512e,269.99,8000.0,0.034,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/ae54441dec9c942100012625e32e15d7.256p.jpg
Seagate EXOS Enterprise,318.0,6000.0,0.053,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/1c27e073407b0a537a0b939afb114c42.256p.jpg
