Image,Name,Screen_Size,CPU_type,Memory,Storage,GPU,VRAM,GPU_Speed,GPU_Cores,Resolution,Weight,Backlit_Keyboard,Touchscreen,CPU_Speed,Number_of_Cores,Display_Type,Graphic_Type,Operating_System,Webcam,Price,Gaming,Workstation,Home
https://c1.neweggimages.com/ProductImage/34-236-436-13.jpg,2023 ASUS Vivobook 16 F1605VA-DS52,16.0,Intel Core i5 13th Gen,8,512 GB PCIe,Intel Iris Xe Graphics,4.0,1650,768,1920 x 1200,4.9,Non-backlit,No,2.6,12-core (4P+8E) Processor,WUXGA,Integrated Card,Windows 11 Home,Yes,449,FALSE,TRUE,TRUE
https://c1.neweggimages.com/ProductImage/34-236-436-13.jpg,2023 ASUS Vivobook 16 F1605VA-DS52,16.0,Intel Core i5 13th Gen,8,512 GB PCIe,Intel Iris Xe Graphics,4.0,1650,768,1920 x 1200,4.9,Non-backlit,No,2.6,12-core (4P+8E) Processor,WUXGA,Integrated Card,Windows 11 Home,Yes,659,FALSE,TRUE,TRUE
https://c1.neweggimages.com/ProductImage/34-236-434-04.jpg,2023 ASUS Vivobook 16 F1605VA-DS74,16.0,Intel Core i7 13th Gen,16,1 TB PCIe,Intel Iris Xe Graphics,4.0,1650,768,1920 x 1200,4.9,Non-backlit,No,2.4,14-core (6P+8E) Processor,WUXGA,Integrated Card,Windows 11 Home,Yes,799,FALSE,TRUE,TRUE
https://c1.neweggimages.com/ProductImage/34-236-433-08.jpg,2023 ASUS Vivobook 17 F1704ZA-DS24,17.3,Intel Pentium Gold,8,256 GB PCIe,Intel UHD Graphics,2.0,750,16,1600 x 900,4.9,Non-backlit,No,1.2,5-core (1P+4E) Processor,HD+,Integrated Card,Windows 11 Home,Yes,483,FALSE,FALSE,TRUE
https://c1.neweggimages.com/ProductImage/34-236-433-08.jpg,2023 ASUS Vivobook 17 F1704ZA-DS24,17.3,Intel Pentium Gold,8,256 GB PCIe,Intel UHD Graphics,2.0,750,16,1600 x 900,4.9,Non-backlit,No,1.2,5-core (1P+4E) Processor,HD+,Integrated Card,Windows 11 Home,Yes,289,FALSE,TRUE,TRUE
https://c1.neweggimages.com/ProductImage/34-236-473-24.jpg,2023 ASUS Zenbook 15 UM3504DA-NB74,15.6,AMD Ryzen 7 7000 Series,16,512 GB PCIe,AMD Radeon 680M,4.0,2200,768,1920 x 1080,3.9,Backlit,No,2.7,8-core Processor,Full HD,Integrated Card,Windows 11 Home,Yes,712,FALSE,FALSE,TRUE
https://c1.neweggimages.com/ProductImage/B0YND2204060PN8DS35.jpg,"Acer 11.6"" Chromebook C734T-C483",11.6,Intel Celeron,4,32 GB,Intel UHD Graphics,2.0,750,16,1366 x 768,2.9,Non-backlit,Yes,1.1,2-core Processor,HD,Integrated Card,Chrome OS,Yes,256,FALSE,FALSE,TRUE
https://c1.neweggimages.com/ProductImage/34-360-275-07.jpg,Acer A514-56M-576D,14.0,Intel Core i5 13th Gen,8,512 GB PCIe,Intel Iris Xe Graphics,4.0,1650,768,1920 x 1200,3.9,Backlit,No,1.3,10-core (2P+8E) Processor,WUXGA,Integrated Card,Windows 11 Home,Yes,499,FALSE,TRUE,TRUE
https://c1.neweggimages.com/ProductImage/34-360-275-07.jpg,Acer A514-56M-576D,14.0,Intel Core i5 13th Gen,8,512 GB PCIe,Intel Iris Xe Graphics,4.0,1650,768,1920 x 1200,3.9,Backlit,No,1.3,10-core (2P+8E) Processor,WUXGA,Integrated Card,Windows 11 Home,Yes,599,FALSE,TRUE,TRUE
https://c1.neweggimages.com/ProductImage/34-360-184-10.jpg,Acer A515-57-53T2,15.6,Intel Core i5 12th Gen,8,512 GB PCIe,Intel Iris Xe Graphics,4.0,1650,768,1920 x 1080,3.9,Backlit,No,1.3,10-core (2P+8E) Processor,Full HD,Integrated Card,Windows 11 Home,Yes,519,FALSE,TRUE,TRUE
https://c1.neweggimages.com/ProductImage/34-360-278-V01.jpg,Acer A515-58M-54LG,15.6,Intel Core i5 13th Gen,16,512 GB PCIe,Intel Iris Xe Graphics,4.0,1650,768,1920 x 1080,3.9,Backlit,No,1.3,10-core (2P+8E) Processor,Full HD,Integrated Card,Windows 11 Home,Yes,499,FALSE,TRUE,FALSE
https://c1.neweggimages.com/ProductImage/34-360-267-S03.jpg,Acer A515-58M-78JL,15.6,Intel Core i7 13th Gen,16,512 GB PCIe,Intel Iris Xe Graphics,4.0,1650,768,1920 x 1080,3.9,Backlit,No,1.7,10-core (2P+8E) Processor,Full HD,Integrated Card,Windows 11 Home,Yes,559,FALSE,TRUE,TRUE
