#,name,from_factor,socket,memory_type,memory_max_capacity,price,chipset,producer,ram_slots,m.2 pci-e 3.0,m.2 pci-e 4.0,usb 3 slots,usb 3 headers,usb 3 type-c,vga,dvi,display port,hdmi,pci-e 3.0,pci-e 4.0,external_image
1,ASRock 970M Pro,ATX,AM3+,DDR3,64.0,64.99,970,ASRock,4,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/c68e404396c1365b98c3bdce95f0fecd.256p.jpg
2,ASRock A320,Micro-ATX,AM4,DDR4,32.0,53.99,A320,ASRock,2,1.0,0.0,4.0,2.0,,0.0,0.0,0.0,0.0,1,0,https://cdna.pcpartpicker.com/static/forever/images/product/abfdc9b2e8b4d216dc16591fd8423bc5.256p.jpg
3,ASRock A320M-DG,Micro-ATX,AM4,DDR4,32.0,49.99,A320,ASRock,2,1.0,0.0,4.0,2.0,,0.0,0.0,0.0,0.0,1,0,https://cdna.pcpartpicker.com/static/forever/images/product/e9bd979af5ffc26f1a250223b25050e2.256p.jpg
4,ASRock B360 Gaming K4 Fatal1t,ATX,1151,DDR4,64.0,119.99,B360,ASRock,4,1.0,0.0,2.0,2.0,,0.0,0.0,0.0,1.0,6,0,https://cdna.pcpartpicker.com/static/forever/images/product/57e3b574940a31a818a28b8f6ae9da63.256p.jpg
5,ASRock B360M Pro,Micro-ATX,1151,DDR4,64.0,77.99,B360,ASRock,4,1.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,4,0,https://cdna.pcpartpicker.com/static/forever/images/product/889a1ee3950310c96b9e93d19cc030d4.256p.jpg
6,ASRock B450M-HD,Micro-ATX,AM4,DDR4,32.0,64.99,B450,ASRock,2,1.0,0.0,4.0,,,0.0,0.0,0.0,1.0,1,0,https://cdna.pcpartpicker.com/static/forever/images/product/2b2897ac0de148a2935c3277573131b3.256p.jpg
7,ASRock B450M-HDV R4.0,Micro-ATX,AM4,DDR4,32.0,71.99,B450,ASRock,2,1.0,0.0,4.0,2.0,,0.0,0.0,0.0,1.0,1,0,https://cdna.pcpartpicker.com/static/forever/images/product/2b2897ac0de148a2935c3277573131b3.256p.jpg
8,ASRock B460 Phantom Gaming,ATX,1200,DDR4,128.0,89.99,B460,ASRock,4,1.0,0.0,4.0,4.0,,0.0,0.0,0.0,0.0,4,0,https://cdna.pcpartpicker.com/static/forever/images/product/c260f3f95ce3c6ef17b2ffcdd4bbca2e.256p.jpg
9,ASRock B460M Pro,Micro-ATX,1200,DDR4,128.0,92.99,B460,ASRock,4,1.0,,4.0,,1.0,1.0,0.0,0.0,1.0,3,0,https://cdna.pcpartpicker.com/static/forever/images/product/edcc1e5a839a1e5dcbd02b39fbc6a193.256p.jpg
10,ASRock B550 PG Velocit,ATX,AM4,DDR4,128.0,118.99,B550,ASRock,4,,1.0,2.0,2.0,,0.0,0.0,0.0,1.0,3,1,https://m.media-amazon.com/images/I/51TSL-pmMOL.jpg
11,ASRock B550 Phantom Gaming,ATX,AM4,DDR4,128.0,84.99,B550,ASRock,4,,1.0,6.0,2.0,,0.0,0.0,0.0,1.0,3,1,https://cdna.pcpartpicker.com/static/forever/images/product/916a6391766f1cfa419a70e439faf4ab.256p.jpg
12,ASRock B550 Pro,ATX,AM4,DDR4,128.0,97.99,B550,ASRock,4,,1.0,4.0,2.0,,0.0,0.0,0.0,0.0,3,1,https://cdna.pcpartpicker.com/static/forever/images/product/9c582991edb4ccf7cdaaab81543bf668.256p.jpg
13,ASRock B550M-ITX/a,Mini-ITX,AM4,DDR4,64.0,129.99,B550,ASRock,2,,1.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0,1,https://m.media-amazon.com/images/I/515LtxB77aL.jpg
14,ASRock B650 Live Mixe,ATX,AM5,DDR5,128.0,229.99,B650,ASRock,4,,2.0,4.0,,,0.0,0.0,1.0,1.0,1,2,https://cdna.pcpartpicker.com/static/forever/images/product/9dff4993915c579be209e4744adccb62.256p.jpg
15,ASRock B650M PG Riptid,Micro-ATX,AM5,DDR5,128.0,169.99,B650E,ASRock,4,,1.0,2.0,,,0.0,0.0,1.0,1.0,0,2,https://cdna.pcpartpicker.com/static/forever/images/product/6df39531014dfa084ccce11055f42764.256p.jpg
16,ASRock B660M-ITX/a,Mini-ITX,1700,DDR4,128.0,101.99,B660,ASRock,4,,1.0,2.0,,,0.0,0.0,1.0,1.0,0,1,https://cdna.pcpartpicker.com/static/forever/images/product/f799abb73653b256f1bebb87d30f9468.256p.jpg
17,ASRock Fatal1ty B250M Performanc,Micro-ATX,1151,DDR4,64.0,99.99,B250,ASRock,4,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,4,0,https://cdna.pcpartpicker.com/static/forever/images/product/b62834b0f74155382d2f7bed3ae6c2cd.256p.jpg
18,ASRock Fatal1ty H270 Performanc,ATX,1151,DDR4,64.0,140.37,H270,ASRock,4,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,6,0,https://images-eu.ssl-images-amazon.com/images/I/51eletx8U0L.jpg
19,ASRock Fatal1ty Z170 Gaming K,ATX,1151,DDR4,64.0,119.99,Z170,ASRock,4,1.0,0.0,6.0,2.0,,0.0,0.0,0.0,0.0,5,0,https://cdna.pcpartpicker.com/static/forever/images/product/c0a7817c066c8b6c84d65f32e93a828b.256p.jpg
20,ASRock H110M-HD,Micro-ATX,1151,DDR4,32.0,51.99,H110,ASRock,2,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,1,0,https://m.media-amazon.com/images/I/51+ESS2plnL.jpg
21,ASRock H170 PRO,ATX,1151,DDR4,64.0,94.99,H170,ASRock,4,1.0,0.0,6.0,2.0,,0.0,1.0,0.0,1.0,5,0,https://cdna.pcpartpicker.com/static/forever/images/product/b7705d433eab3cfe054b1bb1e268a293.256p.jpg
22,ASRock H310M-DG,Micro-ATX,1151,DDR4,32.0,54.78,H310,ASRock,2,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,1,0,https://cdna.pcpartpicker.com/static/forever/images/product/51f4742221c569a312985a093dd94981.256p.jpg
23,ASRock H310M-ITX/A,Mini-ITX,1151,DDR4,32.0,112.99,H310,ASRock,2,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,1,0,https://cdna.pcpartpicker.com/static/forever/images/product/49a10e8b1af1f86d688cf7c1cf5866a4.256p.jpg
24,ASRock H370 Performance Fatal1t,ATX,1151,DDR4,64.0,104.99,H370,ASRock,4,2.0,0.0,2.0,4.0,,0.0,0.0,1.0,1.0,5,0,https://cdna.pcpartpicker.com/static/forever/images/product/c25612ee373e8caa112cee2a13a53778.256p.jpg
25,ASRock H370M-ITX/A,Mini-ITX,1151,DDR4,32.0,109.99,H370,ASRock,2,1.0,0.0,2.0,2.0,,0.0,0.0,1.0,2.0,1,0,https://cdna.pcpartpicker.com/static/forever/images/product/299c652b7d20190b6928b03e9e8507df.256p.jpg
26,ASRock H410M-HD,Micro-ATX,1200,DDR4,64.0,59.99,H410,ASRock,2,,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,2,0,https://cdna.pcpartpicker.com/static/forever/images/product/1d7702d2e925a800b955ba13ffc910fd.256p.jpg
27,ASRock H470 Phantom Gaming,ATX,1200,DDR4,128.0,99.99,H470,ASRock,4,1.0,,2.0,4.0,,0.0,0.0,1.0,1.0,5,0,https://cdna.pcpartpicker.com/static/forever/images/product/383a970abc71794caed4efbd404b76b8.256p.jpg
28,ASRock H470M-ITX/a,Mini-ITX,1200,DDR4,64.0,119.99,H470,ASRock,2,1.0,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1,0,https://m.media-amazon.com/images/I/51jo5pBGcNL.jpg
29,ASRock H81 PRO BTC R2.,ATX,1150,DDR3,16.0,69.99,H81,ASRock,2,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0,0,https://m.media-amazon.com/images/I/51C8EEf6sfL.jpg
30,ASRock X299 Gaming i,ATX,2066,DDR4,128.0,339.99,X299,ASRock,8,3.0,0.0,4.0,4.0,,0.0,0.0,0.0,0.0,4,0,https://m.media-amazon.com/images/I/417jkaDUMWL.jpg
31,ASRock X299 OC Formul,ATX,2066,DDR4,64.0,399.99,X299,ASRock,4,2.0,0.0,4.0,2.0,,0.0,0.0,0.0,0.0,6,0,https://images-eu.ssl-images-amazon.com/images/I/61y9ULMm6rL.jpg
32,ASRock X299 Taich,ATX,2066,DDR4,128.0,299.99,X299,ASRock,8,3.0,0.0,4.0,4.0,,0.0,0.0,0.0,0.0,4,0,https://m.media-amazon.com/images/I/51NLaiOeZjL.jpg
33,ASRock X299 Taichi X,ATX,2066,DDR4,128.0,322.99,X299,ASRock,8,3.0,0.0,4.0,4.0,,0.0,0.0,0.0,0.0,4,0,https://cdna.pcpartpicker.com/static/forever/images/product/e34a6c68207261bd78351a7fee6f5a3a.256p.jpg
34,ASRock X370 Taichi,ATX,AM4,DDR4,64.0,109.99,X370,ASRock,4,1.0,0.0,6.0,2.0,,0.0,0.0,0.0,0.0,2,0,https://images-eu.ssl-images-amazon.com/images/I/61dWxjTPSJL.jpg
35,ASRock X399 Taich,ATX,TR4,DDR4,128.0,296.99,X399,ASRock,8,3.0,0.0,8.0,4.0,,0.0,0.0,0.0,0.0,4,0,https://m.media-amazon.com/images/I/61-HgNyrhKL.jpg
