name,price,type,efficiency,wattage,image_url
Antec Basiq,200.0,ATX,plus,550,https://www.atxpowersupplies.com/images/Antec-500W-Power-Supply-Basiq-BP500U-600x500.jpg
Antec EARTHWATTS GOLD PRO 750,182.38,ATX,gold,750,https://cdna.pcpartpicker.com/static/forever/images/product/d2c2d32f8e6dce383dd72d182d9f590a.256p.jpg
Antec NE850G M ATX3.0,139.99,ATX,gold,850,https://m.media-amazon.com/images/I/51K4qDncrlL.jpg
Antec NeoECO Gold ZEN,163.61,ATX,gold,700,https://cdna.pcpartpicker.com/static/forever/images/product/f5fff539440e070a30d72a7a00183e22.256p.jpg
Antec Signature Platinum,219.59,ATX,platinum,1000,https://cdna.pcpartpicker.com/static/forever/images/product/5f2a07632bcd9b87473cf66f7903bfb4.256p.jpg
Apevia Galaxy,79.98,ATX,gold,1000,https://m.media-amazon.com/images/I/41tTcSFPOyS.jpg
Apevia Premier,59.99,ATX,gold,650,https://m.media-amazon.com/images/I/51YPQPp7z0S.jpg
Asus ROG Strix Aura Edition,221.99,ATX,gold,1000,https://cdna.pcpartpicker.com/static/forever/images/product/dcb88c69748aad75d09d3be2529a8080.256p.jpg
Asus ROG THOR 850P,225.32,ATX,platinum,850,https://cdna.pcpartpicker.com/static/forever/images/product/2f8794c5ac50f5b68812752fb408e31c.256p.jpg
Asus ROG-STRIX-850G,139.99,ATX,gold,850,https://cdna.pcpartpicker.com/static/forever/images/product/ed389950ed8edcbe841a379aea923139.256p.jpg
be quiet! Dark Power 12,338.0,ATX,titanium,750,https://m.media-amazon.com/images/I/41v5hRa+TfL.jpg
be quiet! Dark Power 13,219.9,ATX,titanium,850,https://cdna.pcpartpicker.com/static/forever/images/product/7fa3368565fa6e4e0196112cf171e1b5.256p.jpg
be quiet! Pure Power 12 M,94.9,ATX,gold,550,https://cdna.pcpartpicker.com/static/forever/images/product/2ca5468038b7443022cee1bb7474a477.256p.jpg
be quiet! Straight Power 11 750W,135.99,ATX,gold,750,https://m.media-amazon.com/images/I/41p8+JzLeYL.jpg
be quiet! Straight Power 12,169.9,ATX,platinum,750,https://cdna.pcpartpicker.com/static/forever/images/product/de1f624ef78338c0ed4b1a8813561144.256p.jpg
Cooler Master G500,89.99,ATX,gold,500,https://m.media-amazon.com/images/I/41Gi6yylvcL.jpg
Cooler Master MWE Gold V2 ATX3.0,218.68,ATX,gold,1250,https://m.media-amazon.com/images/I/51s5+hcwcxL.jpg
Cooler Master V SFX Platinum,258.0,SFX,platinum,1100,https://cdna.pcpartpicker.com/static/forever/images/product/343301e7c7c93040adb3e78a9d323112.256p.jpg
Cooler Master V850 Gold i,228.36,ATX,gold,850,https://m.media-amazon.com/images/I/51dAianAwDL.jpg
Cooler Master V850 SFX GOLD,141.99,SFX,gold,850,https://cdna.pcpartpicker.com/static/forever/images/product/bd2577c6ecabce9f78526a09410351e0.256p.jpg
CoolMax ZX-500,39.99,ATX,plus,500,https://images-fe.ssl-images-amazon.com/images/I/516bfytLBEL.jpg
Corsair AX1600i,609.99,ATX,titanium,1600,https://cdna.pcpartpicker.com/static/forever/images/product/1d57cf53a1289e4dfff1aed9b1cc272a.256p.jpg
Corsair CX500M,179.94,ATX,bronze,500,https://m.media-amazon.com/images/I/41eC8DzxliL.jpg
Corsair G700,323.93,ATX,plus,700,https://images-na.ssl-images-amazon.com/images/I/51v87hhhEML.jpg
Corsair HX1050,399.0,ATX,gold,1050,https://m.media-amazon.com/images/I/41wLWGFVY1L.jpg
Corsair HX750,499.93,ATX,gold,750,https://m.media-amazon.com/images/I/51Q4YH4Qx4L.jpg
Corsair RM650x (2018),173.89,ATX,gold,650,https://cdna.pcpartpicker.com/static/forever/images/product/c6df4edbb596b2818cd0c5e204fb3df3.256p.jpg
