#,name,size,memory_type,price,producer,clock,timings,sticks,image_url,gaming,graphic design,programming,office
1,ADATA Premier DDR5-4800,16,DDR5,134.32,ADATA,4800,40,1,https://cdna.pcpartpicker.com/static/forever/images/product/de785c70194bf677c5fe0dc99d8af089.256p.jpg,TRUE,FALSE,TRUE,FALSE
2,ADATA Premier Series DDR3-1600 CL11,8,DDR3,134.32,Adata,1600,,1,https://cdna.pcpartpicker.com/static/forever/images/product/bbb6e3d9787cc6bd8ff1c5df6efbab1e.1600.jpg,FALSE,FALSE,TRUE,TRUE
3,Ballistix Tactical DDR4-3000 CL15,8,DDR4,134.32,Ballistix,3000,,1,https://cdna.pcpartpicker.com/static/forever/images/product/9e5ec9cdd08d9c2e391708c160a9043a.1600.jpg,TRUE,FALSE,TRUE,FALSE
4,Corsair — 16GB Dual Channel DDR3 Memory Kit,16,DDR3,41.99,Corsair,1600,10-10-10-27,2,https://cdna.pcpartpicker.com/static/forever/images/product/97f4efea4a46c0f35748c429fca636cc.256p.jpg,FALSE,FALSE,TRUE,TRUE
5,Corsair — 16GB Dual Channel DDR3 Memory Kit,16,DDR3,41.99,Corsair,1600,10-10-10-27,2,https://cdna.pcpartpicker.com/static/forever/images/product/97f4efea4a46c0f35748c429fca636cc.256p.jpg,FALSE,FALSE,TRUE,TRUE
6,Corsair — 16GB Dual/Quad Channel DDR3 Memory Kit,16,DDR3,41.99,Corsair,1866,9-10-9-27,4,https://cdna.pcpartpicker.com/static/forever/images/product/33813e932dd7993032d89b4ce508aa21.256p.jpg,FALSE,FALSE,TRUE,TRUE
7,Corsair — 32GB Dual/Quad Channel DDR3 Memory Kit,32,DDR3,104.99,Corsair,1600,10-10-10-27,4,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,TRUE,FALSE,TRUE,FALSE
8,Corsair — 4GB Dual Channel DDR3 Memory Kit,4,DDR3,14.99,Corsair,1600,9-9-9-24,2,https://cdna.pcpartpicker.com/static/forever/images/product/835ab3efad1be13bbe53beef3e3c6f96.256p.jpg,FALSE,FALSE,FALSE,TRUE
9,Corsair — 8GB Dual Channel DDR3 Memory Kit,8,DDR3,24.99,Corsair,1600,8-8-8-24,2,https://cdna.pcpartpicker.com/static/forever/images/product/ef1c9d46308283f227a0ba51e4179ff1.1600.jpg,FALSE,FALSE,TRUE,TRUE
10,Corsair 1GB DDR2 Memory,1,DDR2,134.32,Corsair,533,4-4-4-12,1,https://cdna.pcpartpicker.com/static/forever/images/product/c70aa8275698a40fe919387b972728a1.256p.jpg,FALSE,FALSE,FALSE,TRUE
11,Corsair 2GB Dual Channel DDR Memory Kit,2,DDR1,94.90,Corsair,400,3-3-3-8,2,https://m.media-amazon.com/images/I/31FX2Av+QKL.jpg,FALSE,FALSE,FALSE,TRUE
12,Corsair 8GB,8,DDR4,24.99,Corsair,2400,16-16-16-39,1,https://cdna.pcpartpicker.com/static/forever/images/product/ef1c9d46308283f227a0ba51e4179ff1.1600.jpg,TRUE,FALSE,TRUE,TRUE
13,"Corsair Dominator Platinum + AF, DDR4-3600, CL 16 - 32 GB Quad Kit",32,DDR4,104.99,Corsair,3600,16-16-16-36,4,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,TRUE,TRUE,FALSE,FALSE
14,Corsair Dominator Platinum RGB,64,DDR5,324.99,Corsair,6400,32-40-40-84,4,https://cdna.pcpartpicker.com/static/forever/images/product/2d5f8a5348178d69f75557c090aed328.256p.jpg,FALSE,TRUE,FALSE,FALSE
15,Corsair Dominator Platinum RGB,32,DDR5,164.99,Corsair,6200,36-39-39-76,2,https://cdna.pcpartpicker.com/static/forever/images/product/14efe97f96919022afdfc48699226b7f.1600.jpg,TRUE,TRUE,FALSE,FALSE
16,Corsair Dominator Platinum RGB,32,DDR5,164.99,Corsair,5200,40-40-77,2,https://cdna.pcpartpicker.com/static/forever/images/product/14efe97f96919022afdfc48699226b7f.1600.jpg,TRUE,TRUE,FALSE,FALSE
17,Corsair Dominator Platinum RGB Series,64,DDR4,159.99,Corsair,3600,18-19-19-39,4,https://cdna.pcpartpicker.com/static/forever/images/product/44511eed6b609f1979ca94fe5ed2e2ad.256p.jpg,TRUE,TRUE,FALSE,FALSE
18,Corsair Dominator Platinum RGB Series,16,DDR4,69.98,Corsair,3200,16-18-18-36,2,https://cdna.pcpartpicker.com/static/forever/images/product/33813e932dd7993032d89b4ce508aa21.256p.jpg,TRUE,FALSE,TRUE,FALSE
19,Corsair Dominator Platinum ROG Edition 32GB,32,DDR4,134.32,Corsair,3200,16-18-18-36,4,https://m.media-amazon.com/images/I/51nj6yc6QrL.jpg,TRUE,TRUE,FALSE,FALSE
20,Corsair Dominator Platinum Series — 16GB,16,DDR3,89.99,Corsair,3000,12-14-14-36,4,https://cdna.pcpartpicker.com/static/forever/images/product/6026d8285e41f56e9c8e797286810d04.256p.jpg,TRUE,FALSE,TRUE,FALSE
21,Corsair Dominator Platinum Series — 16GB,16,DDR3,89.99,Corsair,2133,9-11-10-30,4,https://cdna.pcpartpicker.com/static/forever/images/product/6026d8285e41f56e9c8e797286810d04.256p.jpg,FALSE,FALSE,TRUE,TRUE
22,Corsair Dominator Platinum Series — 16GB,16,DDR3,89.99,Corsair,1866,10-11-10-30,2,https://cdna.pcpartpicker.com/static/forever/images/product/6026d8285e41f56e9c8e797286810d04.256p.jpg,FALSE,FALSE,TRUE,TRUE
23,Corsair Dominator Platinum Series — 16GB,16,DDR3,89.99,Corsair,2400,11-13-13-31,4,https://cdna.pcpartpicker.com/static/forever/images/product/6026d8285e41f56e9c8e797286810d04.256p.jpg,FALSE,FALSE,TRUE,FALSE
24,Corsair Dominator Platinum Series 16GB,16,DDR4,89.99,Corsair,3200,14-16-16-36,2,https://cdna.pcpartpicker.com/static/forever/images/product/d756aa5dc951a72c2cde2c8d1d7b7dca.1600.jpg,TRUE,FALSE,TRUE,FALSE
25,Corsair Dominator Platinum Series 16GB,16,DDR4,89.99,Corsair,3733,17-19-19-39,2,https://cdna.pcpartpicker.com/static/forever/images/product/d756aa5dc951a72c2cde2c8d1d7b7dca.1600.jpg,TRUE,FALSE,TRUE,FALSE
26,Corsair Dominator Platinum Series 16GB,16,DDR4,89.99,Corsair,2400,10-12-12-28,2,https://cdna.pcpartpicker.com/static/forever/images/product/d756aa5dc951a72c2cde2c8d1d7b7dca.1600.jpg,FALSE,FALSE,TRUE,TRUE
27,Corsair Dominator Platinum Series 32GB,32,DDR4,1674.47,Corsair,3200,16-18-18-36,2,https://cdna.pcpartpicker.com/static/forever/images/product/33813e932dd7993032d89b4ce508aa21.1600.jpg,TRUE,TRUE,FALSE,FALSE
28,Corsair Dominator Platinum Series 64GB,64,DDR4,324.99,Corsair,2800,14-16-16-31,8,https://cdna.pcpartpicker.com/static/forever/images/product/2d5f8a5348178d69f75557c090aed328.1600.jpg,TRUE,TRUE,FALSE,FALSE
29,Corsair LED 32GB,32,DDR4,94.99,Corsair,3200,16-18-18-36,4,https://cdna.pcpartpicker.com/static/forever/images/product/5f09867b54e9ad932b4dd1bc767f6238.1600.jpg,TRUE,TRUE,FALSE,FALSE
30,Corsair Low Profile — 32GB Dual/Quad Channel DDR3 Memory Kit,32,DDR3,104.99,Corsair,1600,10-10-10-27,4,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,TRUE,FALSE,TRUE,FALSE
31,Corsair Low Profile — 32GB Dual/Quad Channel DDR3 Memory Kit,32,DDR3,104.99,Corsair,1600,10-10-10-27,4,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,TRUE,FALSE,TRUE,FALSE
32,Corsair Low Profile Blue — 16GB Dual Channel DDR3 Memory Kit,16,DDR3,41.99,Corsair,1600,9-9-9-24,4,https://cdna.pcpartpicker.com/static/forever/images/product/33813e932dd7993032d89b4ce508aa21.256p.jpg,FALSE,FALSE,TRUE,TRUE
33,Corsair LP 8GB,8,DDR3,24.99,Corsair,1600,9-9-9-24,1,https://cdna.pcpartpicker.com/static/forever/images/product/ef1c9d46308283f227a0ba51e4179ff1.1600.jpg,FALSE,FALSE,TRUE,TRUE
34,Corsair LPX 128GB,128,DDR4,444.99,Corsair,3000,16-18-18-36,8,https://cdna.pcpartpicker.com/static/forever/images/product/97f4efea4a46c0f35748c429fca636cc.1600.jpg,FALSE,TRUE,FALSE,FALSE
